4,andwt_2.5-48_batch1,batch1,1,4,ATM,48,andmu,HG01939
40,daimu_ATM-48_batch1,batch4,1,40,ATM,48,daimu,HG00978
41,andwt_ATM-04_batch1,batch4,1,41,ATM,48,daimu,HG02397
42,andmu_5.0-04_batch1,batch4,1,42,ATM,04,andwt,HG01566
43,andwt_5.0-24_batch1,batch4,1,43,5.0,04,andmu,HG01939
44,daimu_ATM-24_batch1,batch4,1,44,5.0,24,andwt,HG01918
45,daimu_5.0-48_batch1,batch4,1,45,ATM,24,daimu,HG00978
46,daimu_5.0-48_batch1,batch4,1,46,5.0,48,daimu,HG02397
47,daimu_2.5-04_batch1,batch5,1,47,5.0,48,daimu,HG00978
48,andmu_ATM-04_batch1,batch5,1,48,2.5,04,daimu,HG02397
49,daimu_ATM-24_batch1,batch5,1,49,ATM,04,andmu,HG01939
5,andwt_5.0-04_batch1,batch1,1,5,2.5,48,andwt,HG01918
50,andmu_0.0-0_batch1,batch5,1,50,ATM,24,daimu,HG02397
51,daimu_2.5-48_batch1,batch5,2,61,0.0,00,andmu,HG01939
52,andwt_0.0-0_batch1,batch5,2,62,2.5,48,daimu,HG00978
53,andmu_5.0-24_batch1,batch5,2,51,0.0,00,andwt,HG01918
54,andwt_2.5-48_batch1,batch5,2,52,5.0,24,andmu,HG01939
55,andwt_2.5-04_batch1,batch5,2,53,2.5,48,andwt,HG01566
56,andmu_2.5-04_batch1,batch5,2,54,2.5,04,andwt,HG01918
57,daimu_5.0-04_batch1,batch5,2,55,2.5,04,andmu,HG01939
58,andwt_2.5-48_batch1,batch5,2,56,5.0,04,daimu,HG00978
59,andwt_2.5-24_batch1,batch5,2,57,2.5,48,andwt,HG01924
6,daimu_ATM-04_batch1,batch1,1,6,5.0,04,andwt,HG01918
60,daiwt_2.5-48_batch1,batch5,2,58,2.5,24,andwt,HG01918
61,andmu_ATM-04_batch1,batch6,2,59,2.5,48,daiwt,HG02190
62,daiwt_2.5-48_batch1,batch6,2,60,ATM,04,andmu,HG01578
63,daimu_5.0-04_batch1,batch6,2,73,2.5,48,daiwt,HG02390
64,daimu_2.5-48_batch1,batch6,2,74,5.0,04,daimu,HG02187
65,daiwt_5.0-04_batch1,batch6,2,63,2.5,48,daimu,HG02187
66,daiwt_ATM-04_batch1,batch6,2,64,5.0,04,daiwt,HG02390
67,daiwt_ATM-24_batch1,batch6,2,65,ATM,04,daiwt,HG02390
68,daimu_5.0-48_batch1,batch6,2,66,ATM,24,daiwt,HG02190
69,andmu_ATM-24_batch1,batch6,2,67,5.0,48,daimu,HG02187
7,andwt_2.5-24_batch1,batch1,1,7,ATM,04,daimu,HG00978
70,andmu_2.5-04_batch1,batch6,2,68,ATM,24,andmu,HG01578
71,daimu_ATM-48_batch1,batch6,2,69,2.5,04,andmu,HG01578
72,daimu_5.0-24_batch1,batch6,2,70,ATM,48,daimu,HG02187
73,daiwt_5.0-04_batch1,batch6,2,71,5.0,24,daimu,HG02187
74,daiwt_ATM-48_batch1,batch6,2,72,5.0,04,daiwt,HG02190
75,daimu_2.5-24_batch1,batch6,2,85,ATM,48,daiwt,HG02390
76,andmu_5.0-24_batch1,batch6,2,86,2.5,24,daimu,HG02187
77,daiwt_5.0-24_batch1,batch6,2,75,5.0,24,andmu,HG01578
78,daiwt_2.5-04_batch1,batch6,2,76,5.0,24,daiwt,HG02190
79,daiwt_0-0_batch1,batch6,2,77,2.5,04,daiwt,HG02390
8,daimu_0.0-0_batch1,batch1,1,8,2.5,24,andwt,HG01924
80,daiwt_ATM-24_batch1,batch6,2,78,0.0,00,daiwt,HG02190
81,daiwt_2.5-04_batch1,batch7,2,79,ATM,24,daiwt,HG02390
82,daimu_0-0_batch1,batch7,2,80,2.5,04,daiwt,HG02190
83,andmu_5.0-48_batch1,batch7,2,81,0.0,00,daimu,HG02187
84,daiwt_ATM-48_batch1,batch7,2,82,5.0,48,andmu,HG01578
85,daimu_ATM-24_batch1,batch7,2,83,ATM,48,daiwt,HG02190
86,daiwt_ATM-04_batch1,batch7,2,84,ATM,24,daimu,HG02187
87,daiwt_2.5-24_batch1,batch7,2,47,ATM,04,daiwt,HG02190
88,andmu_2.5-48_batch1,batch7,2,48,2.5,24,daiwt,HG02190
89,andmu_2.5-24_batch1,batch7,2,87,2.5,48,andmu,HG01578
9,daimu_5.0-04_batch1,batch2,1,9,0.0,00,daimu,HG02397
90,daiwt_5.0-48_batch1,batch7,2,88,2.5,24,andmu,HG01578
91,andmu_0-0_batch1,batch7,2,89,5.0,48,daiwt,HG02390
92,andmu_5.0-04_batch1,batch7,2,90,0.0,00,andmu,HG01578
93,daiwt_2.5-24_batch1,batch7,2,91,5.0,04,andmu,HG01578
94,daiwt_0-0_batch1,batch7,2,92,2.5,24,daiwt,HG02390
95,daimu_ATM-04_batch1,batch7,2,93,0.0,00,daiwt,HG02390
96,daiwt_5.0-24_batch1,batch7,2,94,ATM,04,daimu,HG02187
97,andmu_ATM-48_batch1,batch7,2,95,5.0,24,daiwt,HG02390
98,daiwt_5.0-48_batch1,batch7,2,96,ATM,48,andmu,HG01578
99,daimu_2.5-04_batch1,batch7,2,49,5.0,48,daiwt,HG02190
